image_path,category,architecture,defect_type,severity,mean_iou_disagreement,max_iou_disagreement,mean_spearman_disagreement,max_spearman_disagreement
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_030.png,screw,resnet18,scratch_neck,0.0033681441326530613,0.7887100603652136,0.8897163508925638,0.664673043739679,1.0357000258887776
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_031.png,screw,resnet18,scratch_neck,0.001634247448979592,0.8248962626601192,0.9474667774086378,0.7587029593823739,1.184342275850112
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_032.png,screw,resnet18,scratch_neck,0.0009765625,0.7003225558377348,0.8273623188405796,0.532540139421104,0.734507036445123
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_033.png,screw,resnet18,scratch_neck,0.0029496173469387753,0.6712605791927637,0.8174855661600094,0.4945605976187834,0.6480425808585999
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_034.png,screw,resnet18,scratch_neck,0.0071548150510204085,0.7248400249608195,0.8801502264442727,0.5993905950861236,0.8910409640425376
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_035.png,screw,resnet18,scratch_neck,0.004344706632653061,0.8257385871646488,0.9440683262160192,0.7341372008306322,1.1192488347597858
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_036.png,screw,resnet18,scratch_neck,0.00253109056122449,0.7305868161791702,0.8341210374639769,0.5717520653068505,0.721817373456752
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_037.png,screw,resnet18,thread_side,0.0015345982142857143,0.6706678820288411,0.848260547742413,0.49325118924272493,0.7882209202808068
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_038.png,screw,resnet18,thread_side,0.0012157206632653062,0.7154567973618059,0.8313245997088792,0.5399310792051909,0.733029985206607
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_039.png,screw,resnet18,thread_side,0.00568000637755102,0.8041736665628788,0.9055889195476925,0.6459726561863802,1.0582291890718314
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_040.png,screw,resnet18,thread_side,0.002889827806122449,0.7725880260926393,0.9351958827854217,0.6980448193997413,1.0041000706143721
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_041.png,screw,resnet18,thread_side,0.0013950892857142857,0.7262035504768224,0.9008911106281243,0.5183627759781085,0.7960693987969109
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_042.png,screw,resnet18,thread_side,0.003706951530612245,0.7839214700687722,0.9085428217688539,0.6214357613759948,0.8900624098433887
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_043.png,screw,resnet18,thread_side,0.001634247448979592,0.8198802788567803,0.9848803444477822,0.7707350963884755,1.2362928623400915
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_044.png,screw,resnet18,thread_side,0.00408561862244898,0.6956837589077708,0.8137461881304247,0.5378938279954665,0.750751820527682
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_045.png,screw,resnet18,thread_side,0.003706951530612245,0.7553706568615496,0.8731173234035459,0.5937305970597732,0.8314539651596042
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_046.png,screw,resnet18,thread_side,0.0015943877551020409,0.7004464801351009,0.8759909085869505,0.5082515800077314,0.8232456372443314
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_047.png,screw,resnet18,thread_side,0.002291932397959184,0.7435249279977346,0.8208893849497738,0.5559946605478513,0.7040154866467236
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_048.png,screw,resnet18,thread_top,0.00643734056122449,0.7961310614553575,0.9290656525643057,0.7296129690183247,1.0929924008627374
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_049.png,screw,resnet18,thread_top,0.005819515306122449,0.7751873873226307,0.8637076888590003,0.6563942661499286,0.9055883134942347
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_050.png,screw,resnet18,thread_top,0.007314253826530612,0.7039478170279452,0.8581404516528692,0.5344427229228654,0.903371624694175
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_051.png,screw,resnet18,thread_top,0.003866390306122449,0.7962392506148825,0.8732425673798277,0.5678348007034267,0.7933359282124695
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_052.png,screw,resnet18,thread_top,0.006556919642857143,0.6889664762052227,0.795952380952381,0.4632190608582098,0.5912732308040375
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_053.png,screw,resnet18,thread_top,0.0052614795918367345,0.8140608623531632,0.898761677167065,0.654403324161695,0.8672926271326955
